Exam,Points to get 5,Total,Percentage (%)
Microeconomics,75,90,83.33333333
Macroeconomics,73,90,81.11111111
US Government and Politics,96,120,80
Computer Science A,62,80,77.5
English Literature,114,150,76
Psychology,113,150,75.33333333
English Language,112,150,74.66666667
US History,97,130,74.61538462
World History,97,130,74.61538462
Physics 2,72,100,72
Chemistry,72,100,72
Environmental Science,107,150,71.33333333
Physics 1,70,100,70
Comparative Government and Politics,84,120,70
Calculus AB,69,108,63.88888889
Statistics,63,100,63
Human Geography,74,120,61.66666667
Physics C: E&M,53,90,58.88888889
Calculus BC,62,108,57.40740741
Physics C: Mechanics,50,90,55.55555556
Spanish Language,117,150,78
Spanish Literature,114,150,76
European History,97,130,74.61538462
Biology,93,120,77.5
Art History,142,200,71
Music Theory,140,200,70
